PMID,gene,drug,interaction
12375053,g787,d2878,antagonist
2236897,g447,d2055,antagonist
10762339,g1114,d2651,binder
20671072,g1805,d1724,agonist
12735630,g81,d150,antagonist
17016423,g2099,d3440,no_interaction
7995016,g1358,d2850,inhibitor
21126620,g2028,d96,inhibitor
17016423,g574,d2842,no_interaction
16651744,g1760,d2199,inhibitor
15843826,g1931,d3284,agonist
17016423,g1884,d2385,no_interaction
17016423,g1601,d2595,no_interaction
19442540,g1847,d3221,inhibitor
11673690,g682,d2186,antagonist
20372850,g2366,d3434,inhibitor
23590413,g2141,d413,inhibitor
16248797,g456,d3183,antagonist
18613770,g1283,d1961,inhibitor
11587223,g2156,d3255,inhibitor
16818707,g2199,d1954,inhibitor
10828060,g1805,d2096,agonist
17016423,g830,d1736,no_interaction
19703035,g301,d3564,inhibitor
17016423,g1601,d2842,no_interaction
21351809,g974,d3152,inhibitor
8935801,g1113,d2142,antagonist
17619763,g1710,d3226,antagonist
15961104,g1760,d3266,inhibitor
17016423,g830,d2988,no_interaction
9464897,g93,d2750,agonist
19417176,g958,d3400,antagonist
20030735,g87,d3539,agonist
18293356,g656,d3195,antagonist
17131328,g1991,d2188,inhibitor
23583433,g1635,d1983,agonist
7528484,g2320,d435,inhibitor
17016423,g1587,d2784,no_interaction
15276617,g730,d1878,agonist
17016423,g447,d77,no_interaction
15466206,g800,d3226,inhibitor
17016423,g830,d3123,no_interaction
12047490,g1884,d2688,inhibitor
18773878,g2366,d3077,inhibitor
11006272,g599,d3545,antagonist
17016423,g1810,d1868,no_interaction
12470615,g2291,d2339,agonist
10561120,g521,d1875,inhibitor
17016423,g830,d2564,no_interaction
8867461,g786,d2878,antagonist
11709201,g618,d3047,cofactor
15098224,g147,d2748,inhibitor
23291630,g250,d3502,inhibitor
17016423,g830,d2022,no_interaction
15330152,g171,d2514,inhibitor
10893069,g1475,d3334,cofactor
9733584,g1878,d2446,agonist
7832763,g1884,d2556,inhibitor
17016423,g1174,d2784,no_interaction
17202804,g183,d3327,agonist
15580557,g1026,d2715,agonist
17016423,g1884,d2146,no_interaction
21486038,g1109,d3530,partial agonist
17016423,g36,d2784,no_interaction
19878098,g1633,d3094,agonist
17016423,g1847,d3504,no_interaction
17016423,g2402,d2670,no_interaction
19427589,g2148,d2199,inhibitor
10839989,g1660,d3166,cofactor
11785774,g1884,d2969,inhibitor
17016423,g447,d1740,no_interaction
16675661,g310,d2737,inhibitor
7665369,g656,d2022,agonist
17016423,g36,d2988,no_interaction
9127118,g1110,d3135,agonist
16843091,g231,d1747,antagonist
20226815,g2150,d2589,negative modulator
11805217,g2296,d2341,inhibitor
17442842,g1598,d3118,agonist
11566608,g682,d2186,antagonist
23702225,g1032,d3267,antagonist
15125867,g2366,d3434,inhibitor
1656846,g1635,d440,agonist
17016423,g1602,d2595,no_interaction
17329241,g1874,d1903,agonist
17016423,g1601,d1868,no_interaction
19149538,g651,d3510,inhibitor
17016423,g1697,d2434,no_interaction
11351021,g1268,d2343,inhibitor
17016423,g1847,d2022,no_interaction
17016423,g730,d2676,no_interaction
16620308,g1831,d81,activator
9795216,g1507,d2289,binder
17016423,g2412,d2900,no_interaction
15917509,g79,d3111,activator
9399012,g1110,d3562,agonist
12214266,g682,d2445,antagonist
15507223,g1108,d3509,agonist
8000225,g1737,d1806,agonist
17016423,g830,d1693,no_interaction
16390600,g792,d2829,binder
9146894,g1883,d2065,inhibitor
15814851,g574,d2075,inhibitor
22813448,g2413,d92,binder
16091048,g765,d2792,inhibitor
17016423,g1697,d2261,no_interaction
9074840,g1998,d2071,agonist
17016423,g1810,d1740,no_interaction
17016423,g831,d77,no_interaction
17016423,g1601,d2071,no_interaction
12269827,g350,d3156,activator
17016423,g2148,d3419,no_interaction
17327465,g105,d2450,agonist
17016423,g1587,d2441,no_interaction
19261825,g343,d1701,agonist
16513859,g656,d2830,antagonist
11264449,g830,d2908,potentiator
17016423,g1602,d2670,no_interaction
17016423,g1601,d2988,no_interaction
10555149,g1806,d3259,negative modulator
17016423,g1847,d2434,no_interaction
19645854,g147,d3554,inhibitor
16845255,g20,d2215,modulator
17016423,g183,d2261,no_interaction
17016423,g574,d3419,no_interaction
12697024,g928,d3156,cofactor
16716,g92,d2869,antagonist
6184384,g1283,d1746,inhibitor
11522647,g682,d2186,antagonist
8070368,g815,d2285,agonist
19039322,g1362,d359,inhibitor
17016423,g1697,d2842,no_interaction
16402096,g1078,d3050,antagonist
17016423,g1847,d1868,no_interaction
8694852,g509,d2884,inhibitor
17111172,g656,d2137,antagonist
10499608,g2366,d3077,inhibitor
8289199,g2253,d3115,antagonist
17016423,g87,d2900,no_interaction
17016423,g2099,d532,no_interaction
10051426,g2004,d157,antagonist
19607959,g2150,d2589,negative modulator
2904117,g447,d2055,antagonist
11755227,g1358,d3564,inhibitor
11594437,g1109,d3562,agonist
10815932,g682,d2186,antagonist
16877408,g1872,d340,agonist
16886928,g1701,d1914,inhibitor
17016423,g833,d2409,no_interaction
17016423,g1174,d1736,no_interaction
17016423,g479,d2595,no_interaction
17016423,g618,d432,no_interaction
16271071,g2311,d3309,inhibitor
16311595,g1416,d1771,cofactor
16034956,g1358,d2850,inhibitor
17016423,g1697,d3440,no_interaction
25850750,g1879,d3188,agonist
17016423,g730,d2595,no_interaction
3314674,g730,d2041,agonist
17016423,g2366,d3419,no_interaction
11132243,g1108,d3129,antagonist
17016423,g833,d3419,no_interaction
17016423,g2412,d2123,no_interaction
17016423,g833,d3417,no_interaction
17265076,g1113,d221,antagonist
19708827,g1807,d282,agonist
11216879,g357,d1806,inhibitor
10821800,g1115,d160,antagonist
11132243,g1110,d2830,antagonist
17016423,g1810,d2784,no_interaction
17003348,g19,d2654,inhibitor
20441428,g772,d2207,antagonist
9562338,g1117,d1703,agonist
7599160,g1485,d2300,cofactor
17016423,g183,d3417,no_interaction
8741039,g1485,d2300,cofactor
11929321,g36,d3079,inhibitor
10895904,g1884,d2423,inhibitor
16925992,g656,d221,partial agonist
16513859,g656,d3129,antagonist
17016423,g2148,d1693,no_interaction
15771415,g1120,d2651,other
20072833,g1306,d1815,multitarget
10430100,g2366,d3077,inhibitor
15059893,g1934,d3417,agonist
7856330,g1358,d3564,inhibitor
9399970,g1635,d1864,agonist
11574406,g19,d2202,binder
17292977,g899,d2076,agonist
14586600,g1116,d1924,antagonist
17482557,g2069,d3047,cofactor
17016423,g2402,d532,no_interaction
11169015,g1479,d3334,cofactor
11060732,g745,d348,inhibitor
19578661,g1079,d2082,antagonist
11565896,g1202,d3385,antagonist
17000933,g1737,d1946,agonist
10381812,g85,d2698,agonist
436795,g1737,d1957,agonist
17016423,g183,d2842,no_interaction
18691132,g656,d3148,agonist
17016423,g1587,d2595,no_interaction
14561652,g931,d466,antagonist
11939921,g1695,d150,inhibitor
15853764,g138,d3251,inhibitor
17588565,g448,d2174,antagonist
15840771,g1883,d3159,inhibitor
17016423,g574,d2409,no_interaction
17016423,g36,d2071,no_interaction
17016423,g1611,d2409,no_interaction
20072833,g24,d1815,multitarget
15007534,g656,d2889,antagonist
15257633,g1108,d221,partial agonist
10894798,g2080,d299,inhibitor
26402735,g1645,d423,inhibitor
17016423,g830,d2409,no_interaction
17016423,g1587,d330,no_interaction
16472864,g1240,d1804,antagonist
8738610,g787,d2878,antagonist
11264449,g959,d2279,antagonist
17016423,g1611,d2900,no_interaction
16917171,g890,d3223,binder
17079868,g1480,d2595,product of
15700891,g899,d2076,agonist
17016423,g1602,d2071,no_interaction
17702897,g285,d1963,antibody
15082029,g529,d2860,agonist
16985933,g931,d51,antagonist
11929321,g36,d3409,inhibitor
17016423,g1641,d3100,no_interaction
17016423,g23,d77,no_interaction
17591945,g1864,d441,inhibitor
17016423,g1611,d2750,no_interaction
18250364,g1602,d2092,antagonist
21486038,g1116,d3530,antagonist
3139361,g183,d1849,no_interaction
20658522,g682,d2445,antagonist
18973287,g830,d2047,potentiator
17379930,g899,d2076,agonist
11702089,g1635,d1864,agonist
17016423,g1884,d2441,no_interaction
14753710,g1279,d3264,inhibitor
11054378,g463,d153,inhibitor
24038727,g1357,d3016,inhibitor
15481543,g758,d2490,ligand
8647296,g1078,d2469,antagonist
17016423,g183,d2123,no_interaction
17016423,g447,d2434,no_interaction
17016423,g1641,d1736,no_interaction
10998224,g631,d1672,inhibitor
17016423,g1602,d1736,no_interaction
12538800,g487,d3395,inhibitor
18691132,g1108,d2498,agonist
17351760,g284,d2207,binder
16313925,g1700,d2314,inhibitor
16463021,g1294,d3047,cofactor
17611697,g1931,d3284,agonist
17016423,g836,d3419,no_interaction
2901134,g2205,d1787,binder
17369473,g1830,d2903,activator
14607457,g1602,d2010,antagonist
17016423,g1113,d3100,no_interaction
11529688,g147,d3554,inhibitor
17016423,g1641,d3419,no_interaction
10202212,g1635,d1908,agonist
14709325,g1108,d221,antagonist
6428914,g147,d3255,inhibitor
17016423,g1883,d2564,no_interaction
9048584,g730,d1878,agonist
20441428,g776,d2207,antagonist
12204699,g1878,d2446,agonist
12522134,g1027,d2715,agonist
20814887,g2353,d2980,no_interaction
1731757,g467,d1759,ligand
10655292,g931,d2180,antagonist
11481605,g2050,d3047,cofactor
23539538,g1279,d2985,inhibitor
17016423,g830,d1740,no_interaction
17016423,g479,d2409,no_interaction
17139494,g479,d1943,no_interaction
17016423,g1611,d2456,no_interaction
17016423,g2412,d2146,no_interaction
12404702,g657,d155,antagonist
23094782,g268,d3501,inhibitor
1730582,g1626,d1972,antagonist
17016423,g447,d2261,no_interaction
17699867,g1279,d2724,antagonist
17015480,g1737,d2554,agonist
14760130,g1116,d2834,antagonist
17228881,g287,d1872,inhibitor
17016423,g293,d1693,no_interaction
17016423,g2099,d1736,no_interaction
17016423,g1174,d2670,no_interaction
10812836,g121,d148,inducer
15791207,g896,d3047,cofactor
17016423,g741,d2409,no_interaction
17016423,g730,d2434,no_interaction
2226620,g293,d2297,inhibitor
15916724,g118,d226,inducer
17016423,g836,d2456,no_interaction
2742004,g943,d2213,cofactor
20599704,g1873,d1903,agonist
11906441,g730,d3285,agonist
12373423,g1108,d2498,agonist
11078469,g19,d2204,inhibitor
9175172,g1883,d3311,inhibitor
23372609,g1701,d250,inhibitor
19955815,g1138,d2863,agonist
17016423,g618,d2261,no_interaction
17016423,g1602,d2261,no_interaction
18728838,g2376,d2645,inhibitor
10459139,g1931,d2071,agonist
23545936,g656,d2518,antagonist
11747628,g730,d3402,modulator
17016423,g2412,d2670,no_interaction
16472864,g1244,d1804,antagonist
2871880,g92,d123,antagonist
7536941,g1579,d2640,inhibitor
10762339,g1115,d2651,antagonist
18691132,g658,d200,agonist
11747436,g565,d2161,antagonist
11264449,g959,d2908,antagonist
12870885,g730,d3402,modulator
15300361,g2148,d2546,inhibitor
17016423,g1641,d2434,no_interaction
9765513,g1268,d318,inhibitor
17519354,g2412,d2019,agonist
17935273,g1478,d3307,inhibitor
17016423,g447,d2385,no_interaction
17194211,g2050,d3047,cofactor
17016423,g479,d3400,no_interaction
8935801,g656,d2142,antagonist
17352511,g92,d216,agonist
19057376,g231,d1747,antagonist
15705170,g931,d1826,antagonist
15554912,g1602,d2010,antagonist
11861820,g2099,d2611,inhibitor
570044,g911,d2274,inhibitor
14739809,g1255,d3348,inhibitor
18691132,g1110,d2498,agonist
17016423,g23,d1868,no_interaction
17591945,g1860,d441,inhibitor
17016423,g2412,d3504,no_interaction
17016423,g1601,d2123,no_interaction
19788928,g1873,d1903,agonist
1349493,g92,d2689,antagonist
16472864,g1238,d1804,antagonist
11689471,g1101,d234,other
10563228,g1109,d3562,agonist
11978145,g1358,d2850,inhibitor
19996149,g2141,d1808,antagonist
17016423,g2412,d3123,no_interaction
18691132,g1108,d200,agonist
11245456,g765,d463,inhibitor
16497876,g1710,d1815,antagonist
17016423,g833,d3440,no_interaction
19683911,g1879,d2331,agonist
11808879,g1250,d1868,inducer
16899369,g1421,d66,inhibitor
14687870,g1113,d1733,antagonist
18585815,g1194,d2362,agonist
17016423,g2412,d532,no_interaction
19966183,g1476,d2559,agonist
236311,g934,d3047,cofactor
17038422,g2335,d2318,inducer
17016423,g183,d432,no_interaction
20166930,g1884,d3139,inhibitor
11304699,g1884,d2688,inhibitor
7536941,g1578,d2640,inhibitor
17624027,g2376,d2645,inhibitor
15198222,g1884,d2423,inhibitor
23435542,g449,d3468,antagonist
18559524,g792,d2731,inhibitor
15645012,g1117,d3302,partial agonist
16730121,g1477,d3078,multitarget
17016423,g1113,d3504,no_interaction
17640917,g2363,d226,inhibitor
11264449,g831,d2279,potentiator
23863923,g1115,d429,antagonist
17016423,g1113,d2071,no_interaction
17403057,g377,d105,inhibitor
17016423,g183,d2441,no_interaction
16301791,g1759,d2723,inhibitor
17016423,g23,d3100,no_interaction
11299519,g815,d2285,agonist
16689938,g138,d3251,inhibitor
20650892,g1601,d3238,antagonist
17016423,g87,d2385,no_interaction
14619588,g183,d2697,agonist
9589848,g447,d160,antagonist
17016423,g741,d1736,no_interaction
15837316,g297,d3564,inhibitor
17109615,g730,d3436,other
18544567,g1807,d3255,agonist
12873999,g1274,d3264,inhibitor
23430109,g801,d2985,inhibitor
17016423,g831,d2676,no_interaction
17016423,g183,d3400,no_interaction
7592550,g103,d3047,cofactor
17016423,g1113,d2409,no_interaction
19768947,g1477,d3078,multitarget
11692072,g656,d200,agonist
15898717,g1139,d2862,agonist
11294894,g1304,d2289,binder
7511752,g85,d2601,agonist
17016423,g36,d2022,no_interaction
18374572,g293,d3066,inhibitor
17016423,g23,d2750,no_interaction
17016423,g1883,d3417,no_interaction
16268464,g1480,d1771,cofactor
17082235,g1807,d2204,agonist
16281286,g1485,d1771,cofactor
11057870,g1060,d461,inhibitor
9551765,g1115,d1842,other
17016423,g1174,d2409,no_interaction
16965731,g1950,d113,inhibitor
20001433,g2020,d3564,inhibitor
10205231,g36,d1694,inhibitor
20030735,g90,d3539,agonist
1647395,g1360,d2041,antagonist
15694390,g147,d2748,inhibitor
15944809,g2028,d3504,other
1701989,g1177,d157,antagonist
20135071,g741,d3134,antagonist
17016423,g36,d1736,no_interaction
17016423,g293,d3417,no_interaction
16316409,g1932,d114,agonist
17016423,g836,d1740,no_interaction
17016423,g1601,d3123,no_interaction
11330835,g941,d3047,cofactor
1312851,g981,d444,inhibitor
17016423,g1884,d2434,no_interaction
17016423,g87,d3100,no_interaction
10852638,g1421,d2544,inhibitor
17016423,g1601,d330,no_interaction
16902803,g2250,d3047,cofactor
18046910,g487,d3395,inhibitor
1314830,g2199,d2108,inhibitor
9568680,g1807,d2958,agonist
17016423,g1810,d2071,no_interaction
16675661,g310,d2728,inhibitor
19004836,g278,d2289,binder
14517765,g1108,d2621,agonist
2386110,g1601,d2126,agonist
17016423,g479,d2670,no_interaction
19948168,g1358,d3564,inhibitor
17016423,g23,d2677,no_interaction
15086241,g1737,d2557,agonist
17367763,g525,d3264,inhibitor
14664717,g1602,d3238,antagonist
17016423,g730,d2784,no_interaction
17016423,g1810,d1693,no_interaction
24261583,g677,d2529,antagonist
6808516,g1792,d1712,inducer
11392377,g183,d2806,agonist
12654248,g2334,d2565,inducer
12623106,g2148,d3089,inhibitor
17450170,g480,d2687,partial agonist
16715250,g562,d3133,antagonist
24947465,g1108,d365,agonist
17016423,g1601,d3440,no_interaction
10847421,g2266,d1805,inhibitor
9666414,g633,d2450,inhibitor
17016423,g36,d2677,no_interaction
17016423,g23,d3504,no_interaction
15465654,g11,d2215,inhibitor
10443547,g656,d136,agonist
17016423,g1602,d2441,no_interaction
16806905,g730,d3436,other
7492120,g649,d1693,inhibitor
17016423,g2099,d2677,no_interaction
10580379,g1358,d3555,inhibitor
12391048,g437,d2215,antagonist
17016423,g1847,d3100,no_interaction
19442540,g1850,d3221,inhibitor
7516184,g2297,d2289,binder
16829128,g2336,d2565,inducer
17181139,g1884,d446,inhibitor
17016423,g36,d3419,no_interaction
20204178,g2412,d2851,agonist
17016423,g1587,d3440,no_interaction
17016423,g730,d432,no_interaction
11061982,g1113,d2621,antagonist
15942272,g1078,d2504,antagonist
23526464,g1952,d2985,inhibitor
12010185,g656,d1927,antagonist
17016423,g1645,d2071,no_interaction
16511610,g1805,d331,agonist
12067524,g849,d3047,cofactor
12031979,g19,d2215,other
17016423,g479,d2385,no_interaction
14635083,g1116,d2834,antagonist
20091647,g2412,d2019,agonist
14508504,g2181,d3234,ligand
17995453,g1830,d2903,activator
11972613,g1180,d2995,antagonist
17724194,g1878,d340,agonist
17016423,g1174,d2564,no_interaction
22862294,g676,d2529,antagonist
12196163,g1562,d3047,cofactor
17016423,g836,d3123,no_interaction
18991633,g1095,d3436,inhibitor
17016423,g2148,d2456,no_interaction
10082805,g2149,d2546,inhibitor
21587264,g1036,d3144,inhibitor
17016423,g1884,d532,no_interaction
12627959,g1626,d3047,cofactor
12177684,g658,d2115,antagonist
17016423,g2148,d2809,no_interaction
10665514,g293,d367,inhibitor
6428914,g147,d2579,inhibitor
17016423,g87,d432,no_interaction
8380639,g1112,d2621,binder
10981253,g487,d2000,inhibitor
17016423,g1174,d330,no_interaction
11520216,g2197,d1979,inhibitor
16102054,g886,d2563,cofactor
12038982,g1194,d2364,agonist
15907153,g656,d2830,no_interaction
16397263,g1279,d1815,antagonist
12882764,g521,d1875,inhibitor
9835260,g2028,d1991,inhibitor
15892662,g1246,d3504,inhibitor
18803986,g682,d2445,antagonist
9593936,g183,d1806,agonist
15955613,g2098,d2589,inhibitor
16508564,g1950,d113,inhibitor
17016423,g447,d2456,no_interaction
16168052,g1806,d331,agonist
17266941,g1924,d3226,inhibitor
17016423,g2099,d2409,no_interaction
15771415,g1120,d2773,no_interaction
17016423,g833,d3504,no_interaction
17016423,g574,d1736,no_interaction
10997731,g1120,d2637,antagonist
12586211,g1883,d3259,inhibitor
17016423,g479,d3100,no_interaction
16829128,g2331,d2565,inducer
9600588,g1113,d2498,agonist
14733708,g1872,d340,agonist
10328880,g828,d210,agonist
17016423,g183,d2071,no_interaction
10518593,g1250,d1868,inducer
17016423,g1113,d1693,no_interaction
19860692,g1701,d3464,inhibitor
12604879,g2028,d2635,inhibitor
17592003,g231,d1747,antagonist
9357398,g2319,d2781,inhibitor
3816971,g1113,d397,antagonist
23545936,g1108,d2330,no_interaction
17016423,g183,d3504,no_interaction
17016423,g1174,d3419,no_interaction
17016423,g447,d2123,no_interaction
12620146,g682,d2838,other
14504136,g1110,d2022,agonist
17016423,g574,d77,no_interaction
17016423,g87,d2676,no_interaction
20350667,g1445,d3132,antibody
16860785,g248,d3270,inhibitor
15878185,g765,d463,inhibitor
11034389,g850,d3047,cofactor
14609352,g2376,d2645,inhibitor
15709193,g2366,d425,inhibitor
18824613,g448,d2950,agonist
19703035,g300,d3564,inhibitor
20957046,g105,d2450,agonist
17701954,g23,d1815,multitarget
1886988,g147,d1879,inhibitor
17016423,g1645,d2564,no_interaction
14615872,g1115,d2651,antagonist
9298126,g1932,d2071,agonist
16163194,g1116,d2834,antagonist
19808995,g162,d1762,antagonist
17016423,g293,d2750,no_interaction
3334987,g730,d1878,agonist
17016423,g1641,d2385,no_interaction
17016423,g618,d532,no_interaction
17016423,g730,d330,no_interaction
8014033,g1113,d2022,agonist
10512062,g1174,d286,antibody
17340127,g1633,d134,antagonist
10730683,g1789,d2792,inhibitor
17016423,g1113,d432,no_interaction
17016423,g2402,d83,no_interaction
11163771,g1660,d3166,cofactor
16420438,g1931,d3417,no_interaction
17016423,g2366,d2676,no_interaction
17016423,g2412,d2071,no_interaction
17659402,g473,d2723,inducer
11519881,g1805,d331,agonist
20590743,g1194,d2361,agonist
1320313,g2320,d2594,inhibitor
11264449,g953,d2908,antagonist
17016423,g183,d83,no_interaction
17016423,g2148,d3417,no_interaction
11160858,g2181,d3234,ligand
17575107,g268,d3226,inhibitor
17016423,g831,d3440,no_interaction
16790752,g72,d2148,inhibitor
19479612,g393,d107,antibody
21036126,g1697,d2314,inhibitor
19461861,g343,d1701,agonist
17016423,g1883,d2842,no_interaction
14973075,g1718,d457,inhibitor
16085334,g1417,d420,inhibitor
20622039,g1879,d3415,agonist
10860024,g1268,d318,inhibitor
12086984,g1250,d2203,inhibitor
17016423,g1847,d3417,no_interaction
18541897,g802,d252,inhibitor
11689132,g1246,d3195,inhibitor
15199473,g1884,d3159,inhibitor
9671543,g59,d68,ligand
17016423,g836,d1693,no_interaction
17016423,g1847,d2441,no_interaction
10890256,g633,d2450,inhibitor
16289454,g2204,d3047,cofactor
17016423,g1611,d2676,no_interaction
11978145,g656,d2850,no_interaction
8777955,g92,d2098,agonist
11054601,g1789,d2792,inhibitor
17216302,g1793,d3047,cofactor
11920914,g38,d2174,inhibitor
17016423,g2402,d330,no_interaction
19236188,g472,d2513,inducer
17335951,g2150,d2135,inhibitor
17016423,g1810,d2564,no_interaction
7855217,g656,d375,no_interaction
11814865,g1884,d2423,inhibitor
19119014,g290,d3425,no_interaction
17016423,g1883,d2123,no_interaction
10197775,g2276,d3166,cofactor
12606421,g931,d466,antagonist
10744652,g393,d107,antibody
6222739,g1601,d2557,agonist
10606440,g91,d2689,antagonist
14514033,g258,d2317,antagonist
17016423,g36,d3440,no_interaction
11585753,g682,d2186,antagonist
17463174,g1187,d2677,inhibitor
6086881,g1078,d160,antagonist
19338579,g1884,d2807,inhibitor
14737100,g682,d2445,antagonist
15198222,g1883,d2423,no_interaction
10852638,g1418,d2544,inhibitor
17016423,g183,d1736,no_interaction
18684057,g1174,d1832,binder
17016423,g618,d2123,no_interaction
17187516,g1174,d1832,binder
23468082,g792,d2985,inhibitor
10095983,g1789,d2792,inhibitor
16472864,g1233,d1804,antagonist
7903385,g88,d2241,agonist
17016423,g1174,d1740,no_interaction
17016423,g2402,d2564,no_interaction
17016423,g741,d2677,no_interaction
17016423,g1883,d2441,no_interaction
18305010,g448,d2174,antagonist
17042691,g2320,d435,inhibitor
12517254,g682,d2029,antagonist
17016423,g1697,d3419,no_interaction
10331108,g1108,d2957,antagonist
17016423,g1810,d532,no_interaction
17016423,g574,d2988,no_interaction
2975224,g1113,d2647,antagonist
19169963,g1170,d414,binder
23742252,g144,d460,antagonist
17016423,g1645,d1868,no_interaction
16573350,g398,d52,antagonist
17016423,g618,d3417,no_interaction
17111172,g1113,d2137,antagonist
10494028,g1805,d2096,agonist
17016423,g1174,d2441,no_interaction
17016423,g1810,d2842,no_interaction
10794813,g1267,d1993,inhibitor
19337422,g231,d3399,antagonist
17016423,g1611,d2434,no_interaction
11226127,g1249,d3394,inhibitor
10641988,g657,d400,agonist
12402511,g2028,d2669,inhibitor
11885959,g1883,d3265,inhibitor
17217311,g1050,d81,product of
17016423,g1847,d532,no_interaction
17016423,g833,d2123,no_interaction
19808995,g437,d1762,antagonist
17694093,g1035,d3529,inhibitor
17011224,g1485,d1771,cofactor
16925992,g656,d221,antagonist
14605254,g931,d1806,negative modulator
17477916,g2149,d2663,inhibitor
17016423,g836,d2988,no_interaction
11432892,g382,d2190,antibody
11700150,g1080,d321,antagonist
10381787,g1883,d2561,inhibitor
15937332,g1737,d3286,agonist
10381787,g1884,d2561,inhibitor
18466433,g1478,d2072,inhibitor
17020465,g231,d3495,agonist
17016423,g1883,d3504,no_interaction
17016423,g741,d2022,no_interaction
17016423,g293,d1740,no_interaction
20649595,g899,d2076,agonist
19494617,g2412,d2851,agonist
16041392,g478,d2188,inhibitor
16877408,g1874,d340,agonist
14638499,g2197,d3314,inhibitor
17016423,g1847,d2595,no_interaction
8697470,g2253,d3115,antagonist
12538800,g487,d2000,inhibitor
8578218,g787,d3252,agonist
11929321,g36,d3237,inhibitor
14753710,g1274,d3264,inhibitor
11591369,g2307,d318,other
10741458,g38,d2940,inhibitor
17016423,g836,d2434,no_interaction
9537821,g2148,d397,no_interaction
15459188,g2181,d3234,ligand
17911465,g282,d2207,binder
8313547,g2254,d3115,inhibitor
17016423,g741,d3100,no_interaction
14967460,g682,d2838,other
17016423,g2366,d2022,no_interaction
17016423,g1884,d3400,no_interaction
17016423,g618,d2670,no_interaction
17461889,g2233,d2466,agonist
17016423,g293,d2434,no_interaction
17573046,g656,d3145,agonist
18600270,g293,d3066,inhibitor
17016423,g1884,d3504,no_interaction
17477341,g1883,d3265,inhibitor
15380228,g19,d3098,inhibitor
17016423,g447,d2595,no_interaction
17016423,g1810,d2385,no_interaction
17016423,g831,d2123,no_interaction
17016423,g2148,d2441,no_interaction
6124875,g2329,d2070,agonist
17016423,g574,d3400,no_interaction
14567543,g8,d3047,inhibitor
17016423,g183,d330,no_interaction
17016423,g1601,d3100,no_interaction
12820772,g682,d2029,antagonist
17016423,g1884,d2988,no_interaction
1794016,g1358,d2850,inhibitor
14654525,g800,d3264,inhibitor
22552008,g514,d2984,inhibitor
16545798,g1875,d1903,agonist
17016423,g831,d1693,no_interaction
10581306,g1250,d1868,inducer
10715145,g1884,d3481,inhibitor
22790794,g1256,d1944,inhibitor
2087492,g352,d464,inducer
17016423,g1810,d2676,no_interaction
11264449,g835,d2279,potentiator
15639300,g1698,d3344,inhibitor
17016423,g1847,d2385,no_interaction
11811354,g1883,d2423,inhibitor
11245463,g1369,d3259,inhibitor
15563241,g1358,d3158,antagonist
12686158,g123,d3047,cofactor
17016423,g730,d2261,no_interaction
17016423,g1645,d2750,no_interaction
18250364,g1602,d2728,antagonist
17016423,g1587,d2564,no_interaction
12498017,g682,d2029,antagonist
14612920,g10,d3523,other
17016423,g833,d2988,no_interaction
12063084,g1108,d221,antagonist
26323341,g2177,d2026,antagonist
17428103,g229,d1747,antagonist
17016423,g36,d2385,no_interaction
20110044,g682,d2445,antagonist
17016423,g2412,d1740,no_interaction
16472864,g1234,d1804,antagonist
16916952,g932,d2226,agonist
17016423,g618,d3419,no_interaction
17016423,g23,d3419,no_interaction
17016423,g447,d1736,no_interaction
17016423,g2148,d2677,no_interaction
16712799,g131,d3334,cofactor
17016423,g831,d2784,no_interaction
23409799,g631,d2992,inhibitor
12560076,g2204,d3047,cofactor
10338682,g1789,d2792,inhibitor
17016423,g1587,d2434,no_interaction
17016423,g836,d3100,no_interaction
18308814,g1114,d2773,antagonist
17016423,g1883,d3440,no_interaction
12531805,g801,d3264,inhibitor
17016423,g730,d1736,no_interaction
17016423,g1113,d1740,no_interaction
12166927,g1597,d2764,agonist
16122880,g1170,d2175,antagonist
17016423,g1810,d2261,no_interaction
15937215,g448,d2174,antagonist
17477829,g778,d3561,inhibitor
8263811,g88,d2241,agonist
16899109,g1182,d3388,antibody
12890708,g1587,d2741,agonist
15044619,g13,d3256,inhibitor
15189743,g633,d2450,inhibitor
17016423,g741,d1868,no_interaction
17016423,g741,d3123,no_interaction
18311896,g965,d2090,antagonist
17016423,g741,d77,no_interaction
15627433,g2149,d1910,inhibitor
16413681,g10,d3322,inducer
10942852,g1108,d2869,antagonist
10683249,g1592,d1875,inhibitor
18425818,g644,d1823,inhibitor
11121413,g1883,d1886,inhibitor
9562338,g1113,d1703,antagonist
17016423,g2148,d2123,no_interaction
11024226,g1737,d1946,agonist
17016423,g730,d3123,no_interaction
7855217,g449,d2956,no_interaction
17016423,g1641,d3123,no_interaction
17604599,g633,d2450,inhibitor
19168050,g449,d3398,antagonist
17016423,g2148,d2564,no_interaction
1361012,g1115,d2647,antagonist
16515550,g2181,d3234,ligand
1322791,g2311,d168,inhibitor
20564405,g382,d2190,antibody
20441428,g773,d2207,antagonist
15955613,g1357,d163,no_interaction
10024094,g1475,d3334,cofactor
17016423,g1174,d3417,no_interaction
10942240,g382,d2190,antibody
17164136,g1884,d2069,inhibitor
17016423,g1641,d1740,no_interaction
2835832,g2329,d1888,agonist
8991786,g1357,d3564,inhibitor
15289999,g1115,d95,antagonist
16581066,g83,d3344,antagonist
15219414,g183,d2806,agonist
17016423,g1697,d2564,no_interaction
